time,Pyro [uV],IR_S_u
2023-06-14 00:23:12-05:00,31,0.0
2023-06-14 00:23:18-05:00,31,0.0
2023-06-14 00:23:24-05:00,31,0.0
2023-06-14 00:23:30-05:00,31,0.0
2023-06-14 00:23:36-05:00,31,0.0
2023-06-14 00:23:42-05:00,16,0.0
2023-06-14 00:23:48-05:00,16,0.0
2023-06-14 00:23:54-05:00,31,0.0
2023-06-14 00:24:00-05:00,31,0.0
2023-06-14 00:24:06-05:00,31,0.0
2023-06-14 00:24:12-05:00,31,0.0
2023-06-14 00:24:18-05:00,31,0.0
2023-06-14 00:24:24-05:00,31,0.0
2023-06-14 00:24:30-05:00,31,0.0
2023-06-14 00:24:36-05:00,31,0.0
2023-06-14 00:24:42-05:00,31,0.0
2023-06-14 00:24:48-05:00,31,0.0
2023-06-14 00:24:54-05:00,31,0.0
2023-06-14 00:25:00-05:00,31,0.0
2023-06-14 00:25:06-05:00,31,0.0
2023-06-14 00:25:12-05:00,31,0.0
2023-06-14 00:25:18-05:00,31,0.0
2023-06-14 00:25:24-05:00,31,0.0
2023-06-14 00:25:30-05:00,31,0.0
2023-06-14 00:25:36-05:00,31,0.0
2023-06-14 00:25:42-05:00,31,0.0
2023-06-14 00:25:48-05:00,31,0.0
2023-06-14 00:25:54-05:00,31,0.0
2023-06-14 00:26:00-05:00,16,0.0
2023-06-14 00:26:06-05:00,16,0.0
2023-06-14 00:26:12-05:00,31,0.0
2023-06-14 00:26:18-05:00,31,0.0
2023-06-14 00:26:24-05:00,31,0.0
2023-06-14 00:26:30-05:00,16,0.0
2023-06-14 00:26:36-05:00,31,0.0
2023-06-14 00:26:42-05:00,16,0.0
2023-06-14 00:26:48-05:00,16,0.0
2023-06-14 00:26:54-05:00,16,0.0
2023-06-14 00:27:00-05:00,16,0.0
2023-06-14 00:27:06-05:00,16,0.0
2023-06-14 00:27:12-05:00,16,0.0
2023-06-14 00:27:18-05:00,16,0.0
2023-06-14 00:27:24-05:00,16,0.0
2023-06-14 00:27:30-05:00,16,0.0
2023-06-14 00:27:36-05:00,16,0.0
2023-06-14 00:27:42-05:00,16,0.0
2023-06-14 00:27:48-05:00,16,0.0
2023-06-14 00:27:54-05:00,16,0.0
2023-06-14 00:28:00-05:00,16,0.0
2023-06-14 00:28:06-05:00,16,0.0
2023-06-14 00:28:12-05:00,16,0.0
2023-06-14 00:28:18-05:00,16,0.0
2023-06-14 00:28:24-05:00,16,0.0
2023-06-14 00:28:30-05:00,16,0.0
2023-06-14 00:28:36-05:00,16,0.0
2023-06-14 00:28:42-05:00,16,0.0
2023-06-14 00:28:48-05:00,16,0.0
2023-06-14 00:28:54-05:00,16,0.0
2023-06-14 00:29:00-05:00,16,0.0
2023-06-14 00:29:06-05:00,16,0.0
2023-06-14 00:29:12-05:00,16,0.0
2023-06-14 00:29:18-05:00,16,0.0
2023-06-14 00:29:24-05:00,16,0.0
2023-06-14 00:29:30-05:00,16,0.0
2023-06-14 00:29:36-05:00,16,0.0
2023-06-14 00:29:42-05:00,16,0.0
2023-06-14 00:29:48-05:00,16,0.0
2023-06-14 00:29:54-05:00,16,0.0
2023-06-14 00:30:00-05:00,16,0.0
2023-06-14 00:30:06-05:00,16,0.0
2023-06-14 00:30:12-05:00,16,0.0
2023-06-14 00:30:18-05:00,16,0.0
2023-06-14 00:30:24-05:00,16,0.0
2023-06-14 00:30:30-05:00,16,0.0
2023-06-14 00:30:36-05:00,16,0.0
2023-06-14 00:30:42-05:00,16,0.0
2023-06-14 00:30:48-05:00,16,0.0
2023-06-14 00:30:54-05:00,31,0.0
2023-06-14 00:31:00-05:00,16,0.0
2023-06-14 00:31:06-05:00,16,0.0
2023-06-14 00:31:12-05:00,31,0.0
2023-06-14 00:31:18-05:00,31,0.0
2023-06-14 00:31:24-05:00,16,0.0
2023-06-14 00:31:30-05:00,16,0.0
2023-06-14 00:31:36-05:00,16,0.0
2023-06-14 00:31:42-05:00,31,0.0
2023-06-14 00:31:48-05:00,31,0.0
2023-06-14 00:31:54-05:00,16,0.0
2023-06-14 00:32:00-05:00,31,0.0
2023-06-14 00:32:06-05:00,31,0.0
2023-06-14 00:32:12-05:00,16,0.0
2023-06-14 00:32:18-05:00,31,0.0
2023-06-14 00:32:24-05:00,31,0.0
2023-06-14 00:32:30-05:00,31,0.0
2023-06-14 00:32:36-05:00,31,0.0
2023-06-14 00:32:42-05:00,31,0.0
2023-06-14 00:32:48-05:00,31,0.0
2023-06-14 00:32:54-05:00,31,0.0
2023-06-14 00:33:00-05:00,31,0.0
2023-06-14 00:33:06-05:00,31,0.0
2023-06-14 00:33:12-05:00,31,0.0
2023-06-14 00:33:18-05:00,31,0.0
2023-06-14 00:33:24-05:00,31,0.0
2023-06-14 00:33:30-05:00,31,0.0
2023-06-14 00:33:36-05:00,31,0.0
2023-06-14 00:33:42-05:00,31,0.0
2023-06-14 00:33:48-05:00,31,0.0
2023-06-14 00:33:54-05:00,31,0.0
2023-06-14 00:34:00-05:00,31,0.0
2023-06-14 00:34:06-05:00,31,0.0
2023-06-14 00:34:12-05:00,31,0.0
2023-06-14 00:34:18-05:00,31,0.0
2023-06-14 00:34:24-05:00,31,0.0
2023-06-14 00:34:30-05:00,31,0.0
2023-06-14 00:34:36-05:00,31,0.0
2023-06-14 00:34:42-05:00,31,0.0
2023-06-14 00:34:48-05:00,31,0.0
2023-06-14 00:34:54-05:00,31,0.0
2023-06-14 00:35:00-05:00,31,0.0
2023-06-14 00:35:06-05:00,31,0.0
2023-06-14 00:35:12-05:00,31,0.0
2023-06-14 00:35:18-05:00,31,0.0
2023-06-14 00:35:24-05:00,31,0.0
2023-06-14 00:35:30-05:00,31,0.0
2023-06-14 00:35:36-05:00,31,0.0
2023-06-14 00:35:42-05:00,31,0.0
2023-06-14 00:35:48-05:00,31,0.0
