filename,time,b,g,r
RCNX0131,2023-06-06 21:51:00,23.186832757296468,23.186832757296468,23.186832757296468
RCNX0132,2023-06-06 21:54:00,17.93514261276358,17.93514261276358,17.93514261276358
RCNX0133,2023-06-06 21:57:00,16.069700460829495,16.069700460829495,16.069700460829495
RCNX0134,2023-06-06 22:00:00,14.588015814830332,14.588015814830332,14.588015814830332
RCNX0135,2023-06-06 22:03:00,13.970599427454266,13.970599427454266,13.970599427454266
RCNX0136,2023-06-06 22:06:00,13.016130341432762,13.016130341432762,13.016130341432762
RCNX0137,2023-06-06 22:09:00,14.213475335148722,14.213475335148722,14.213475335148722
RCNX0138,2023-06-06 22:12:00,17.120652667225247,17.120652667225247,17.120652667225247
RCNX0139,2023-06-06 22:15:00,15.85573985826002,15.85573985826002,15.85573985826002
RCNX0140,2023-06-06 22:18:00,12.770556661080855,12.770556661080855,12.770556661080855
RCNX0141,2023-06-06 22:21:00,12.18388580505516,12.18388580505516,12.18388580505516
RCNX0142,2023-06-06 22:24:00,12.695537459851977,12.695537459851977,12.695537459851977
RCNX0143,2023-06-06 22:27:00,12.465190354000837,12.465190354000837,12.465190354000837
RCNX0144,2023-06-06 22:30:00,12.5088133640553,12.5088133640553,12.5088133640553
RCNX0145,2023-06-06 22:33:00,12.068871753246754,12.068871753246754,12.068871753246754
RCNX0146,2023-06-06 22:36:00,11.410391355955872,11.410391355955872,11.410391355955872
RCNX0147,2023-06-06 22:39:00,11.29956229925988,11.29956229925988,11.29956229925988
RCNX0148,2023-06-06 22:42:00,12.615235738723642,12.615235738723642,12.615235738723642
RCNX0149,2023-06-06 22:45:00,15.038583123865381,15.038583123865381,15.038583123865381
RCNX0150,2023-06-06 22:48:00,12.511354035749196,12.511354035749196,12.511354035749196
RCNX0151,2023-06-06 22:51:00,11.406658026113671,11.406658026113671,11.406658026113671
RCNX0152,2023-06-06 22:54:00,11.45918909719313,11.45918909719313,11.45918909719313
RCNX0153,2023-06-06 22:57:00,12.284903033794162,12.284903033794162,12.284903033794162
RCNX0154,2023-06-06 23:00:00,11.214418377321604,11.214418377321604,11.214418377321604
RCNX0155,2023-06-06 23:03:00,11.462122957687473,11.462122957687473,11.462122957687473
RCNX0156,2023-06-06 23:06:00,10.923164973467394,10.923164973467394,10.923164973467394
RCNX0157,2023-06-06 23:09:00,11.064773600055858,11.064773600055858,11.064773600055858
RCNX0158,2023-06-06 23:12:00,11.525129171903366,11.525129171903366,11.525129171903366
RCNX0159,2023-06-06 23:15:00,11.702589547549225,11.702589547549225,11.702589547549225
RCNX0160,2023-06-06 23:18:00,11.930934488898199,11.930934488898199,11.930934488898199
RCNX0161,2023-06-06 23:21:00,11.733095499930178,11.733095499930178,11.733095499930178
RCNX0162,2023-06-06 23:24:00,12.079615277195922,12.079615277195922,12.079615277195922
RCNX0163,2023-06-06 23:27:00,12.207329632732858,12.207329632732858,12.207329632732858
RCNX0164,2023-06-06 23:30:00,11.66448645440581,11.66448645440581,11.66448645440581
RCNX0165,2023-06-06 23:33:00,11.427854437229437,11.427854437229437,11.427854437229437
RCNX0166,2023-06-06 23:36:00,10.868668394777266,10.868668394777266,10.868668394777266
RCNX0167,2023-06-06 23:39:00,11.24860485616534,11.24860485616534,11.24860485616534
RCNX0168,2023-06-06 23:42:00,11.045819805194805,11.045819805194805,11.045819805194805
RCNX0169,2023-06-06 23:45:00,5.949674888283759,5.949674888283759,5.949674888283759
RCNX0170,2023-06-06 23:48:00,10.652685990085184,10.652685990085184,10.652685990085184
RCNX0171,2023-06-06 23:51:00,10.990073401061304,10.990073401061304,10.990073401061304
RCNX0172,2023-06-06 23:54:00,11.684948418516967,11.684948418516967,11.684948418516967
RCNX0173,2023-06-06 23:57:00,10.324662669319927,10.324662669319927,10.324662669319927
RCNX0174,2023-06-07 00:00:00,10.82747172182656,10.82747172182656,10.82747172182656
RCNX0175,2023-06-07 00:03:00,10.591643537913699,10.591643537913699,10.591643537913699
RCNX0176,2023-06-07 00:06:00,10.380459694875018,10.380459694875018,10.380459694875018
RCNX0177,2023-06-07 00:09:00,10.406465141041753,10.406465141041753,10.406465141041753
RCNX0178,2023-06-07 00:12:00,10.568736035469906,10.568736035469906,10.568736035469906
RCNX0179,2023-06-07 00:15:00,10.303522552716101,10.303522552716101,10.303522552716101
RCNX0180,2023-06-07 00:18:00,10.5347145126379,10.5347145126379,10.5347145126379
RCNX0181,2023-06-07 00:21:00,10.22833184960201,10.22833184960201,10.22833184960201
RCNX0182,2023-06-07 00:24:00,10.705628142019272,10.705628142019272,10.705628142019272
RCNX0183,2023-06-07 00:27:00,10.458964791928501,10.458964791928501,10.458964791928501
RCNX0184,2023-06-07 00:30:00,10.498223013545594,10.498223013545594,10.498223013545594
RCNX0185,2023-06-07 00:33:00,10.228611576595448,10.228611576595448,10.228611576595448
RCNX0186,2023-06-07 00:36:00,11.051562281804218,11.051562281804218,11.051562281804218
RCNX0187,2023-06-07 00:39:00,14.547444490992879,14.547444490992879,14.547444490992879
RCNX0188,2023-06-07 00:42:00,14.264836440441279,14.264836440441279,14.264836440441279
RCNX0189,2023-06-07 00:45:00,13.342730152911605,13.342730152911605,13.342730152911605
RCNX0190,2023-06-07 00:48:00,13.43277475212959,13.43277475212959,13.43277475212959
RCNX0191,2023-06-07 00:51:00,13.711532956291022,13.711532956291022,13.711532956291022
RCNX0192,2023-06-07 00:54:00,11.029255690546012,11.029255690546012,11.029255690546012
RCNX0193,2023-06-07 00:57:00,10.42117110040497,10.42117110040497,10.42117110040497
RCNX0194,2023-06-07 01:00:00,10.345867808267002,10.345867808267002,10.345867808267002
RCNX0195,2023-06-07 01:03:00,10.102762795000698,10.102762795000698,10.102762795000698
RCNX0196,2023-06-07 01:06:00,10.843516966904064,10.843516966904064,10.843516966904064
RCNX0197,2023-06-07 01:09:00,10.962122521295909,10.962122521295909,10.962122521295909
RCNX0198,2023-06-07 01:12:00,12.516824204021784,12.516824204021784,12.516824204021784
RCNX0199,2023-06-07 01:15:00,14.476515587906716,14.476515587906716,14.476515587906716
RCNX0200,2023-06-07 01:18:00,14.807670454545455,14.807670454545455,14.807670454545455
RCNX0201,2023-06-07 01:21:00,15.920094522413072,15.920094522413072,15.920094522413072
RCNX0202,2023-06-07 01:24:00,14.649916212819438,14.649916212819438,14.649916212819438
RCNX0203,2023-06-07 01:27:00,16.337500436391565,16.337500436391565,16.337500436391565
RCNX0204,2023-06-07 01:30:00,16.180848956151376,16.180848956151376,16.180848956151376
RCNX0205,2023-06-07 01:33:00,16.840782973746684,16.840782973746684,16.840782973746684
RCNX0206,2023-06-07 01:36:00,18.33811225736629,18.33811225736629,18.33811225736629
RCNX0207,2023-06-07 01:39:00,19.256634024577572,19.256634024577572,19.256634024577572
RCNX0208,2023-06-07 01:42:00,17.886398111297304,17.886398111297304,17.886398111297304
RCNX0209,2023-06-07 01:45:00,17.4360132139366,17.4360132139366,17.4360132139366
RCNX0210,2023-06-07 01:48:00,18.698159300377043,18.698159300377043,18.698159300377043
RCNX0211,2023-06-07 01:51:00,19.285756179304567,19.285756179304567,19.285756179304567
RCNX0212,2023-06-07 01:54:00,20.72996919075548,20.72996919075548,20.72996919075548
RCNX0213,2023-06-07 01:57:00,22.81693810222036,22.81693810222036,22.81693810222036
